"This table is the total number of people tested within a given week. Persons who had more than one specimen tested will only appear once per week in this table. If a person had a positive result and a negative result in the same week, they will be",,,,,,,,,,,,,,,,,,,,,,,,
counted as positive. People with only an inconclusive result are not included in these numbers.,,,,,,,,,,,,,,,,,,,,,,,,
,,Week of Jun 7,,,Week of Jun 14,,,Week of Jun 21,,,Week of Jun 28,,,Week of Jul 5,,,Week of Jul 12,,,Week of Jul 19,,,Week of Jul 26,
County,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent,Positive,Total,Percent
Alachua,3,118,2.54%,4,140,2.86%,2,168,1.19%,2,149,1.34%,5,105,4.76%,17,157,10.83%,7,74,9.46%,5,54,9.26%
Baker,0,2,0.00%,0,5,0.00%,0,9,0.00%,0,7,0.00%,0,9,0.00%,0,2,0.00%,0,5,0.00%,1,8,12.50%
Bay,3,54,5.56%,0,33,0.00%,2,93,2.15%,0,65,0.00%,0,77,0.00%,10,94,10.64%,9,85,10.59%,9,55,16.36%
Bradford,0,9,0.00%,1,10,10.00%,0,5,0.00%,1,8,12.50%,1,13,7.69%,0,7,0.00%,0,4,0.00%,0,0,N/A
Brevard,7,355,1.97%,12,257,4.67%,3,471,0.64%,9,414,2.17%,18,451,3.99%,29,509,5.70%,25,367,6.81%,27,247,10.93%
Broward,137,"2,903",4.72%,106,"3,046",3.48%,111,"3,952",2.81%,112,"3,718",3.01%,149,"3,498",4.26%,451,"4,051",11.13%,307,"3,118",9.85%,273,"2,163",12.62%
Calhoun,0,0,N/A,0,1,0.00%,0,2,0.00%,0,0,N/A,0,4,0.00%,0,4,0.00%,0,1,0.00%,0,3,0.00%
Charlotte,9,174,5.17%,5,145,3.45%,8,168,4.76%,4,192,2.08%,5,166,3.01%,14,207,6.76%,11,183,6.01%,7,110,6.36%
Citrus,3,88,3.41%,2,104,1.92%,6,119,5.04%,1,104,0.96%,0,98,0.00%,1,85,1.18%,3,67,4.48%,2,53,3.77%
Clay,2,82,2.44%,1,123,0.81%,10,177,5.65%,5,162,3.09%,2,147,1.36%,15,157,9.55%,4,113,3.54%,5,87,5.75%
Collier,46,"1,678",2.74%,51,"1,299",3.93%,45,"1,031",4.36%,54,"1,084",4.98%,57,644,8.85%,113,635,17.80%,71,503,14.12%,69,449,15.37%
Columbia,3,22,13.64%,0,16,0.00%,1,23,4.35%,0,20,0.00%,1,25,4.00%,1,28,3.57%,3,24,12.50%,1,13,7.69%
Dade,275,"5,031",5.47%,246,"5,492",4.48%,313,"7,468",4.19%,290,"6,916",4.19%,394,"6,765",5.82%,"1,249","7,592",16.45%,"1,054","6,279",16.79%,859,"4,313",19.92%
Desoto,2,14,14.29%,1,16,6.25%,1,23,4.35%,0,8,0.00%,0,13,0.00%,3,20,15.00%,54,288,18.75%,6,91,6.59%
Dixie,0,3,0.00%,0,1,0.00%,0,3,0.00%,0,2,0.00%,0,3,0.00%,1,3,33.33%,1,3,33.33%,0,3,0.00%
Duval,23,512,4.49%,26,584,4.45%,135,"1,800",7.50%,135,"1,223",11.04%,77,"1,069",7.20%,166,"1,658",10.01%,146,"1,310",11.15%,61,679,8.98%
Escambia,5,101,4.95%,5,119,4.20%,2,125,1.60%,3,140,2.14%,14,143,9.79%,22,152,14.47%,17,137,12.41%,15,115,13.04%
Flagler,1,112,0.89%,2,74,2.70%,0,133,0.00%,3,110,2.73%,1,103,0.97%,5,126,3.97%,5,87,5.75%,3,57,5.26%
Franklin,0,22,0.00%,0,9,0.00%,0,35,0.00%,0,126,0.00%,0,32,0.00%,6,69,8.70%,0,3,0.00%,0,2,0.00%
Gadsden,1,14,7.14%,0,13,0.00%,0,12,0.00%,0,12,0.00%,0,11,0.00%,4,27,14.81%,1,14,7.14%,0,5,0.00%
Gilchrist,0,5,0.00%,0,6,0.00%,1,9,11.11%,0,4,0.00%,0,3,0.00%,0,0,N/A,0,2,0.00%,1,3,33.33%
Glades,0,0,N/A,0,0,N/A,1,3,33.33%,0,3,0.00%,0,1,0.00%,0,1,0.00%,0,1,0.00%,0,0,N/A
Gulf,0,10,0.00%,0,3,0.00%,0,11,0.00%,0,14,0.00%,0,2,0.00%,0,9,0.00%,0,6,0.00%,0,0,N/A
Hamilton,0,4,0.00%,0,3,0.00%,0,4,0.00%,0,3,0.00%,0,7,0.00%,1,3,33.33%,0,2,0.00%,0,0,N/A
